yyyymm,等ウェイト,高配当,最小分散,クオリティ,企業価値,市場指数
200001,0,0,0,0,0,0
200002,-4.326403077,-7.506762849,-2.580708468,5.451383227,-3.507194245,-0.025700649
200003,6.431352845,5.873750914,3.001611604,-2.968766107,5.069897484,1.072971881
200004,-0.59010976,3.522099448,0.107568942,-1.200467439,-0.816036899,-2.541618473
200005,1.626498872,2.168112075,-3.809709876,-10.02150538,-2.298336612,-5.430797718
200006,10.85280374,7.693981935,4.813648827,2.802342256,7.588100686,5.029107586
200007,-9.242280535,-5.749797898,-6.753221587,-6.265620459,-7.937723328,-8.348556128
200008,2.136553646,-1.425967621,0.872817955,4.830408631,0.998059329,3.628594636
200009,-1.205093224,2.110071786,-0.391429749,-5.128356796,-1.216945741,-3.69255495
200010,-4.487917146,0.745632723,-2.699069286,-8.292287549,-2.806595035,-4.802582534
200011,2.084337349,0.993867625,-1.052184079,-2.399891223,-1.21986086,-2.75089625
200012,-2.183406114,2.617252931,0.193340494,-5.621342992,-1.746261457,-3.165585615
200101,-0.361969112,-4.560293818,-3.162521441,1.180898959,-0.009819324,0.616431563
200102,-1.295713248,1.304115446,-2.048046053,-8.96491356,-1.777472258,-3.666072715
200103,4.477978162,3.798670465,3.820072333,7.379807692,3.389322136,3.752853207
200104,10.12212306,8.173223544,4.495972132,2.328184464,7.33004545,5.277731418
200105,-4.713158456,-1.860727375,-2.500260444,-2.661707868,-3.766105055,-4.046838407
200106,0.414055506,1.972613234,0.641094134,-2.367395865,-0.2434229,-1.2826771
200107,-6.396968684,-4.216358344,-4.522773118,-6.499386126,-6.832473017,-7.328205947
200108,-5.072032385,-3.852941176,-5.548760147,-12.21994255,-6.003827944,-7.090906106
200109,-9.695221372,-6.587131641,-6.216152578,-7.329842932,-10.49190869,-9.179183601
200110,3.166666667,2.728959721,3.401958323,9.140435835,2.538314176,2.535241412
200111,0.13462574,-3.347146956,-0.910525677,6.664817896,0.116767865,1.67462072
200112,-2.715783813,-2.011873351,-0.931144327,-0.519975734,-2.134359692,-0.730669454
200201,-4.864566059,-6.058566139,-6.566905763,-6.855997909,-4.719342152,-5.917521315
200202,4.430563626,3.869580795,2.700198544,5.209502432,5.090681676,4.193477479
200203,5.758798164,4.208347706,2.874081712,3.413636768,5.189240657,4.811998351
200204,2.998816257,1.456471367,2.46805312,3.283761712,2.093233763,2.520608606
200205,5.695313498,6.199021207,3.96136447,-0.565959218,4.045217777,2.680850304
200206,-8.203455358,-6.6359447,-6.691755851,-7.072905332,-8.329782701,-8.44965148
200207,-6.264806528,-4.880991554,-5.520544492,-8.836245721,-6.460608878,-7.024189261
200208,-2.653748947,-0.968634686,-1.040554963,-0.602707242,-2.211180124,-2.046213382
200209,-2.408769652,-2.119236143,-1.307630089,-3.200795229,-1.321138211,-1.839825712
200210,-8.439255099,-6.126576255,-4.179756864,-3.635243376,-7.968589083,-6.368405403
200211,3.82566586,1.406665822,2.024233785,5.97826087,3.217233179,4.060291933
200212,-5.223880597,-0.824793802,-2.850356295,-4.484665661,-5.447892668,-5.632636157
200301,-1.689632546,-2.696572581,-3.710628506,-7.369196758,-1.30428551,-3.024843214
200302,1.401635241,0.038850039,-0.268857356,-1.125127855,-0.246877723,-0.849173455
