code,ïüóòå˙ê∂îÔ
3563,41822
3938,39444
3978,5313
3964,2714
4324,444657
8742,1411
2124,5647
4926,4890
8207,5908
4776,2891
9936,26721
8160,15740
7455,17274
7554,12904
8163,14782
3193,8259
9900,8676
4681,47931
9979,22435
3197,115115
8201,5612
7506,4341
6857,48984
7611,12058
6054,1613
6141,111154
8423,1017
7918,8600
8011,19454
8230,5516
9887,25241
7581,40924
3395,18817
9861,52486
9828,9708
3387,31265
3920,314
4704,36078
3221,3474
3909,375
3902,710
8179,35808
9854,4260
3031,628
2440,9833
7872,8656
3397,27027
8200,11584
7524,2311
6459,9760
3073,7952
2139,1931
3366,2371
6947,5689
3082,2049
3606,17149
3097,9831
7752,512427
7421,20050
2695,28415
9424,664
6097,5021
3175,6418
2175,5659
8798,1787
2753,7449
2301,1242
2910,12338
4696,10671
6073,3343
6071,1269
3093,3198
4318,3474
6036,1563
7741,113420
7522,23628
3091,4240
2120,7039
3067,897
3926,697
3919,1106
2674,4199
4820,3031
7615,2772
3313,18539
2193,3826
9629,2114
7550,120969
4653,5793
7733,166073
3681,1601
9986,1532
6754,19286
3607,2790
4845,577
8151,4641
8166,5131
9966,4638
3788,2512
8127,4552
7600,2873
9746,12031
2217,6057
9945,29233
9928,5427
6809,8777
9475,2122
7937,3938
8016,50279
8136,12825
2326,818
7630,6867
2410,1743
6823,3901
7448,1859
6048,295
8018,5717
9474,11401
8584,23396
6849,32384
2379,6434
4651,9881
3046,8916
6588,95613
8029,8146
7921,2800
7840,9935
8181,1277
2726,22128
3087,24042
4922,50451
2681,50383
9416,2781
4911,158767
6789,8173
7968,4124
9790,1844
2222,6014
3333,9420
2376,2443
4923,1204
6413,15131
3649,598
6058,2410
3393,1863
7979,4031
4319,3677
2424,1273
4755,139484
5187,1775
8118,2060
4512,1887
6032,694
2686,17647
2464,841
6287,18145
6082,3003
8732,1006
3769,2000
2685,33565
8107,687
7893,3513
7575,6056
7709,444
1377,9518
6436,19414
3196,5093
9850,6342
8585,34097
2792,9259
8511,3655
8153,11211
7618,7312
6841,61779
3085,3672
6914,4863
6848,2250
2492,956
4331,9333
4312,2482
8060,97417
4553,13141
6387,824
7494,10712
8252,36283
8050,39274
8697,16437
3376,1038
9644,1269
2818,1485
2413,11783
8111,9166
3169,1224
6445,5837
7596,3995
4523,80161
7732,19073
4540,16974
6704,3299
4958,6976
6282,8325
8013,2468
6381,4310
8182,37304
3205,3084
6419,3604
8185,19672
2698,9760
9768,2349
4503,186100
7416,7937
7972,14421
3655,411
7989,5566
8267,1152883
5261,3115
3751,9555
4975,2901
2687,4109
6861,44115
6820,3347
8025,3108
9633,2672
8589,9976
7949,4102
6718,6072
8253,38533
4929,659
8279,47331
8692,3290
7601,4587
6858,1808
6652,5963
6186,2125
9699,15877
6277,6116
8008,6768
8771,621
2395,2338
9983,242033
2204,5674
4848,3431
4559,8754
4547,9664
3770,653
6814,10577
4321,3057
8276,58781
6272,3418
6310,20555
7951,54806
6654,504
4919,3889
6952,42838
4928,6811
6333,2563
8022,25068
4671,6099
8275,6647
7512,24304
4971,1218
6941,3482
4452,191122
9438,4306
6632,39200
8057,18062
3028,29044
6171,585
1873,5948
4350,11468
6850,2396
6457,28719
3457,2223
7825,9431
4921,12378
5936,2290
6744,12239
9039,10262
6788,1954
2764,1471
6845,32440
8218,41666
3608,20107
2212,131294
9930,2150
2198,2250
6418,3795
7745,5042
7718,6135
9384,2504
9990,7086
6376,16581
4722,4198
4552,2247
2670,29616
3660,1767
2735,5711
7981,22624
4927,26988
8219,31169
8214,23906
6465,32639
3683,1144
3001,5766
4828,1631
7520,14081
7608,562
8281,27333
8586,45370
9956,63539
6924,6902
3396,3768
8515,11127
8289,13167
4551,7322
7995,5306
7727,1470
3546,7704
8194,79235
7823,4725
7701,41452
5384,3977
3762,2637
7445,10328
9919,14356
9479,1340
6999,5378
4716,20055
3222,80340
2485,1241
9788,10061
7762,36601
6763,1510
6480,5160
9993,13312
5337,655
6351,4548
3098,43844
6187,1014
4506,47798
4514,5632
5933,5172
9882,15021
4694,12871
6866,2095
5929,40781
7715,5089
8255,26202
6506,45178
4829,632
9843,58559
2594,7185
4974,3348
4665,18425
8028,101727
4569,13103
4345,824
9842,11639
7606,16436
6113,31478
2914,241752
4550,1365
4763,2980
9994,18750
5332,64196
6638,5405
4743,1242
4502,193347
6678,944
9601,10717
9832,22734
3328,2140
4286,1415
7453,36883
6098,203500
3141,68887
3194,12836
6971,156623
1722,44000
4611,7987
2331,45250
2267,41411
6143,6750
3658,1308
4310,1584
9889,9063
7780,7835
4216,4568
5958,2971
3564,19127
4215,8147
4534,10546
6932,4290
6409,5528
3191,17105
9837,4300
7514,7729
9663,2897
8274,8965
8168,15679
4536,21239
6339,10113
4733,2475
8217,28523
9449,14308
4151,36337
5998,1891
6951,10551
3512,1172
6037,134
9735,97268
2734,15601
7475,8150
2168,27562
2359,2024
8473,27343
9749,17110
7744,5218
9003,26381
4686,2115
2389,7254
1419,14378
6136,10957
7458,14575
3361,2267
3180,996
7962,3524
2810,29278
7833,474
7990,8155
6961,3398
4574,853
2742,11787
6104,11422
4203,20333
6727,7315
8174,11231
5942,2794
4684,6296
3167,18282
4516,10072
3050,45180
9381,2166
9232,5273
6454,6817
4543,52285
3672,269
4095,11135
5815,1134
6151,2681
3319,1948
2196,2970
7213,1711
7640,3181
2371,4518
5943,21217
6590,4279
6393,2655
4507,33781
8053,397886
2170,3367
7987,5729
7999,2029
9755,5079
7561,4751
6005,10144
7595,3444
6238,2445
7846,9646
3076,4778
7976,6335
4581,27377
7955,11119
2453,1127
9621,4099
2325,1599
6482,1886
4539,3468
8245,1807
6191,388
7482,4554
7518,15228
6167,1610
6135,14794
4617,7931
8165,12424
7821,2875
8595,2675
4346,1350
6724,98355
7649,41312
4612,45050
6370,20494
9605,12264
3513,1117
3529,2223
6771,2174
7908,1488
5930,13887
2593,45273
7730,1572
9783,40833
6362,661
6856,16029
9358,4808
9142,36039
8114,12379
7994,22280
4917,7275
7818,1122
9948,48165
6751,11745
7609,4213
4463,4146
6138,891
2487,1054
8227,52797
6361,44428
4521,9455
7952,6193
6965,11330
6853,1387
4307,39411
2659,16727
1919,4052
6622,12498
6146,12423
6240,925
6745,6746
6925,15936
8591,246909
4544,18818
3382,537604
3088,49138
6363,4069
6273,44659
7734,2131
9066,18351
3159,16233
4739,37076
6407,8544
9962,23502
7723,4062
4218,4000
8056,25572
2676,1721
7936,36004
2211,9416
7984,27731
3640,1331
4093,3378
5938,159916
9678,12941
4819,3251
6508,19616
4204,94797
2651,56129
2730,59928
8001,429768
2587,125055
8142,18600
6458,3418
5331,9602
8572,21596
6707,13974
6083,1009
6504,73621
2432,12627
9880,2534
4914,12006
7816,809
9370,38507
8242,79002
7867,14682
9740,4314
3686,269
9765,1347
7819,1545
6099,990
8175,13826
8273,60798
4465,1286
8184,12983
6920,1321
7148,1632
2181,51096
8233,79715
1954,7063
6624,2258
4812,6877
9001,48974
4295,1786
7545,11677
3415,798
3407,160091
5121,2683
8278,26907
7516,25828
4719,2270
2664,22543
6791,1186
9728,7822
2767,6479
9792,23357
6516,6303
2433,105725
3391,48556
7646,7404
6325,579
6859,3302
7868,2914
6988,63962
8237,7182
9600,2039
6723,39014
4530,12082
2882,2176
6358,1959
6768,6578
9982,6438
7735,21440
2540,1012
3548,5726
6140,3460
9602,19204
9366,1202
9747,28973
2811,16637
4985,13819
6779,3586
2791,11877
6926,998
8842,878
9007,42655
7525,2752
1868,20775
8772,510
4967,9778
6879,7094
4554,2770
3669,405
6306,2641
2801,32459
6044,534
3148,18684
5946,3404
4997,4075
7508,8878
5018,2144
6278,1668
6989,2931
3277,986
4272,12737
4666,15555
5932,26575
3172,576
6798,5030
9742,3072
9932,3320
6078,205
2353,1444
3099,99535
3134,675
9603,41505
6367,161956
2427,10634
1766,24163
6268,19358
5819,843
9422,20525
9619,6289
9020,227208
2579,36302
